Name,Coefficient
Intercept,-1029821143891977.9
erster_monat_kohorte_fg,47.363
monat_monat_1,-139314147082067.28
monat_monat_10,-139314147082067.28
monat_monat_11,-139314147082065.86
monat_monat_12,-139314147082064.66
monat_monat_2,-139314147082065.39
monat_monat_3,-139314147082066.02
monat_monat_4,-139314147082066.55
monat_monat_5,-139314147082067.34
monat_monat_6,-139314147082067.52
monat_monat_7,-139314147082067.78
monat_monat_8,-139314147082070.48
monat_monat_9,-139314147082068.44
kohorte_monat_1,213843036081489.4
kohorte_monat_10,-96172958367760.28
kohorte_monat_11,-96172958367765.88
kohorte_monat_12,213843036081488.84
kohorte_monat_2,213843036081489.1
kohorte_monat_3,-204716943132594.66
kohorte_monat_4,-204716943132593.84
kohorte_monat_5,-204716943132594.38
kohorte_monat_6,92787167895686.9
kohorte_monat_7,92787167895686.69
kohorte_monat_8,92787167895704.45
kohorte_monat_9,-96172958367755.69
kohorte_jahreszeit_Frühling,1373852234106687.8
kohorte_jahreszeit_Herbst,1265308249341862.5
kohorte_jahreszeit_Sommer,1076348123078405.9
kohorte_jahreszeit_Winter,955292254892604.2
