Name,Coefficient
Intercept,58.605
monate_seit_einfuehrung_programm_kohorte,-0.362
monat_monat_1,-0.814
monat_monat_10,1.87
monat_monat_11,0.969
monat_monat_12,2.255
monat_monat_2,0.687
monat_monat_3,2.121
monat_monat_4,0.185
monat_monat_5,-0.56
monat_monat_6,-1.465
monat_monat_7,-1.474
monat_monat_8,-2.863
monat_monat_9,-0.911
kohorte_monat_1,-0.6
kohorte_monat_10,1.867
kohorte_monat_11,-5.199
kohorte_monat_12,-1.894
kohorte_monat_2,-0.966
kohorte_monat_3,-2.18
kohorte_monat_4,-0.213
kohorte_monat_5,1.222
kohorte_monat_6,-5.012
kohorte_monat_7,-2.973
kohorte_monat_8,9.915
kohorte_monat_9,6.034
kohorte_jahreszeit_Frühling,-1.171
kohorte_jahreszeit_Herbst,2.703
kohorte_jahreszeit_Sommer,1.929
kohorte_jahreszeit_Winter,-3.46
