Name,Coefficient
Intercept,4.061
erster_monat_kohorte_fg,0.734
monate_seit_einfuehrung_programm_kohorte,-0.012
rabatt_indexiert,-0.01
monat_monat_10,0.011
monat_monat_11,0.023
monat_monat_12,0.057
monat_monat_2,0.02
monat_monat_3,0.03
monat_monat_4,0.008
monat_monat_5,-0.005
monat_monat_6,0.014
monat_monat_7,0.002
monat_monat_8,-0.041
monat_monat_9,-0.035
monat_jahreszeit_Herbst,-0.001
monat_jahreszeit_Sommer,-0.024
monat_jahreszeit_Winter,-0.006
kohorte_jahreszeit_Herbst,0.097
kohorte_jahreszeit_Sommer,0.074
kohorte_jahreszeit_Winter,-0.035
