Name,Coefficient
Intercept,50.324
rabatt_indexiert,0.013
monat_monat_10,1.656
monat_monat_11,-0.039
monat_monat_12,2.787
monat_monat_2,1.294
monat_monat_3,1.82
monat_monat_4,0.085
monat_monat_5,-0.466
monat_monat_6,-0.3
monat_monat_7,0.006
monat_monat_8,-1.362
monat_monat_9,-0.934
kohorte_monat_10,2.016
kohorte_monat_11,1.515
kohorte_monat_12,-1.412
kohorte_monat_2,-0.881
kohorte_monat_3,0.505
kohorte_monat_4,1.844
kohorte_monat_5,2.987
kohorte_monat_6,0.037
kohorte_monat_7,1.851
kohorte_monat_8,17.699
kohorte_monat_9,12.931
monat_jahreszeit_Herbst,0.683
monat_jahreszeit_Sommer,-1.656
monat_jahreszeit_Winter,-0.467
