Name,Coefficient
Intercept,458484388963840.75
monat_monat_1,-346536073898577.7
monat_monat_10,-461612812348769.25
monat_monat_11,-461612812348770.1
monat_monat_12,-346536073898575.06
monat_monat_2,-346536073898577.56
monat_monat_3,-875481549561613.6
monat_monat_4,-875481549561616.1
monat_monat_5,-875481549561618.9
monat_monat_6,-221572781683661.25
monat_monat_7,-221572781683661.47
monat_monat_8,-221572781683662.9
monat_monat_9,-461612812348771.5
kohorte_monat_1,-98398208943645.22
kohorte_monat_10,-98398208943635.86
kohorte_monat_11,-98398208943643.06
kohorte_monat_12,-98398208943646.5
kohorte_monat_2,-98398208943646.0
kohorte_monat_3,-98398208943644.9
kohorte_monat_4,-98398208943643.81
kohorte_monat_5,-98398208943642.4
kohorte_monat_6,-98398208943645.16
kohorte_monat_7,-98398208943643.3
kohorte_monat_8,-98398208943627.5
kohorte_monat_9,-98398208943631.83
monat_jahreszeit_Frühling,515395369541472.5
monat_jahreszeit_Herbst,101526632328626.28
monat_jahreszeit_Sommer,-138513398336485.44
monat_jahreszeit_Winter,-13550106121566.5
