Name,Coefficient
Intercept,-4282013327704.116
monat_monat_10,3823331169953.22
monat_monat_11,3823331169953.22
monat_monat_12,0.083
monat_monat_2,0.031
monat_monat_3,-1977085082331.142
monat_monat_4,-1977085082331.186
monat_monat_5,-1977085082331.21
monat_monat_6,8610911354137.348
monat_monat_7,8610911354137.341
monat_monat_8,8610911354137.324
monat_monat_9,3823331169953.161
kohorte_monat_10,12285753192278.434
kohorte_monat_11,12285753192278.303
kohorte_monat_12,-0.029
kohorte_monat_2,-0.028
kohorte_monat_3,6259098410039.217
kohorte_monat_4,6259098410039.237
kohorte_monat_5,6259098410039.263
kohorte_monat_6,-3274703181606.198
kohorte_monat_7,-3274703181606.18
kohorte_monat_8,-3274703181605.934
kohorte_monat_9,12285753192278.484
monat_jahreszeit_Herbst,-5800416252284.379
monat_jahreszeit_Sommer,-10587996436468.57
monat_jahreszeit_Winter,-1977085082331.21
kohorte_jahreszeit_Herbst,-6026654782239.045
kohorte_jahreszeit_Sommer,9533801591645.42
kohorte_jahreszeit_Winter,6259098410039.224
