Name,Coefficient
Intercept,3.788
erster_monat_kohorte_fg,0.663
rabatt_indexiert,0.039
kohorte_monat_10,0.004
kohorte_monat_11,-0.06
kohorte_monat_12,-0.034
kohorte_monat_2,-0.025
kohorte_monat_3,-0.035
kohorte_monat_4,-0.021
kohorte_monat_5,-0.0
kohorte_monat_6,-0.09
kohorte_monat_7,-0.09
kohorte_monat_8,0.223
kohorte_monat_9,0.104
monat_jahreszeit_Herbst,-0.008
monat_jahreszeit_Sommer,-0.042
monat_jahreszeit_Winter,0.013
kohorte_jahreszeit_Herbst,0.048
kohorte_jahreszeit_Sommer,0.044
kohorte_jahreszeit_Winter,-0.034
