Name,Coefficient
Intercept,4.026
erster_monat_kohorte_fg,0.733
monate_seit_einfuehrung_programm_kohorte,-0.011
monat_monat_10,0.011
monat_monat_11,0.021
monat_monat_12,0.052
monat_monat_2,0.016
monat_monat_3,0.028
monat_monat_4,0.007
monat_monat_5,-0.004
monat_monat_6,0.013
monat_monat_7,0.002
monat_monat_8,-0.039
monat_monat_9,-0.033
monat_jahreszeit_Herbst,-0.002
monat_jahreszeit_Sommer,-0.024
monat_jahreszeit_Winter,-0.004
kohorte_jahreszeit_Herbst,0.085
kohorte_jahreszeit_Sommer,0.078
kohorte_jahreszeit_Winter,-0.039
