Name,Coefficient
Intercept,51.737
erster_monat_kohorte_fg,47.345
rabatt_indexiert,0.01
monat_monat_1,-0.859
monat_monat_10,1.159
monat_monat_11,0.342
monat_monat_12,2.378
monat_monat_2,-0.539
monat_monat_3,0.975
monat_monat_4,-0.292
monat_monat_5,-0.441
monat_monat_6,0.185
monat_monat_7,0.182
monat_monat_8,-2.184
monat_monat_9,-0.905
monat_jahreszeit_Frühling,0.242
monat_jahreszeit_Herbst,0.596
monat_jahreszeit_Sommer,-1.818
monat_jahreszeit_Winter,0.98
kohorte_jahreszeit_Frühling,-2.924
kohorte_jahreszeit_Herbst,2.543
kohorte_jahreszeit_Sommer,4.283
kohorte_jahreszeit_Winter,-3.901
