Name,Coefficient
Intercept,4369194186134.132
monat_monat_10,-2903861172199.732
monat_monat_11,-2903861172199.757
monat_monat_12,0.079
monat_monat_2,0.018
monat_monat_3,-4369194186130.16
monat_monat_4,-4369194186130.194
monat_monat_5,-4369194186130.209
monat_monat_6,6010789800988.368
monat_monat_7,6010789800988.366
monat_monat_8,6010789800988.344
monat_monat_9,-2903861172199.784
monat_jahreszeit_Herbst,-1465333013930.412
monat_jahreszeit_Sommer,-10379983987118.607
monat_jahreszeit_Winter,-4369194186130.209
kohorte_jahreszeit_Herbst,0.117
kohorte_jahreszeit_Sommer,0.107
kohorte_jahreszeit_Winter,-0.035
