Name,Coefficient
Intercept,-2233177745.977
erster_monat_kohorte_fg,0.725
monate_seit_einfuehrung_programm_kohorte,-0.01
rabatt_indexiert,0.009
monat_monat_10,-6243478451.471
monat_monat_11,-6243478451.452
monat_monat_12,0.048
monat_monat_2,0.025
monat_monat_3,2233177749.963
monat_monat_4,2233177749.941
monat_monat_5,2233177749.929
monat_monat_6,910711762.371
monat_monat_7,910711762.359
monat_monat_8,910711762.319
monat_monat_9,-6243478451.512
kohorte_monat_10,0.113
kohorte_monat_11,0.022
kohorte_monat_12,-0.03
kohorte_monat_2,-0.01
kohorte_monat_3,-0.002
kohorte_monat_4,0.03
kohorte_monat_5,0.058
kohorte_monat_6,0.012
kohorte_monat_7,0.015
kohorte_monat_8,0.22
kohorte_monat_9,0.18
monat_jahreszeit_Herbst,8476656201.401
monat_jahreszeit_Sommer,1322465987.558
monat_jahreszeit_Winter,2233177749.926
