Name,Coefficient
Intercept,4.025
monate_seit_einfuehrung_programm_kohorte,-0.007
rabatt_indexiert,0.0
monat_monat_10,0.028
monat_monat_11,0.002
monat_monat_12,0.048
monat_monat_2,0.013
monat_monat_3,0.035
monat_monat_4,0.002
monat_monat_5,-0.009
monat_monat_6,-0.0
monat_monat_7,-0.002
monat_monat_8,-0.03
monat_monat_9,-0.021
monat_jahreszeit_Herbst,0.009
monat_jahreszeit_Sommer,-0.032
monat_jahreszeit_Winter,-0.005
kohorte_jahreszeit_Herbst,0.06
kohorte_jahreszeit_Sommer,0.089
kohorte_jahreszeit_Winter,-0.054
