Name,Coefficient
Intercept,58.377
erster_monat_kohorte_fg,51.269
monate_seit_einfuehrung_programm_kohorte,-0.632
rabatt_indexiert,0.005
monat_monat_1,-0.147
monat_monat_10,0.72
monat_monat_11,0.862
monat_monat_12,2.69
monat_monat_2,0.633
monat_monat_3,1.303
monat_monat_4,0.272
monat_monat_5,-0.106
monat_monat_6,-0.572
monat_monat_7,-0.939
monat_monat_8,-3.093
monat_monat_9,-1.622
kohorte_jahreszeit_Frühling,-1.898
kohorte_jahreszeit_Herbst,2.252
kohorte_jahreszeit_Sommer,3.677
kohorte_jahreszeit_Winter,-4.031
