Name,Coefficient
Intercept,216773633041.368
erster_monat_kohorte_fg,50.757
monate_seit_einfuehrung_programm_kohorte,-0.542
rabatt_indexiert,0.008
monat_monat_1,-152108743473.113
monat_monat_10,-152108743472.741
monat_monat_11,-152108743471.971
monat_monat_12,-152108743470.464
monat_monat_2,-152108743471.615
monat_monat_3,-152108743471.41
monat_monat_4,-152108743472.322
monat_monat_5,-152108743472.881
monat_monat_6,-152108743472.954
monat_monat_7,-152108743473.325
monat_monat_8,-152108743475.439
monat_monat_9,-152108743475.023
kohorte_monat_1,-64664889514.73
kohorte_monat_10,-64664889511.575
kohorte_monat_11,-64664889513.729
kohorte_monat_12,-64664889516.23
kohorte_monat_2,-64664889515.153
kohorte_monat_3,-64664889514.832
kohorte_monat_4,-64664889513.171
kohorte_monat_5,-64664889511.738
kohorte_monat_6,-64664889513.986
kohorte_monat_7,-64664889513.841
kohorte_monat_8,-64664889500.497
kohorte_monat_9,-64664889503.227
