Name,Coefficient
Intercept,70612925945503.9
monat_monat_1,-255858572663152.1
monat_monat_10,-341951267811144.5
monat_monat_11,-341951267811143.3
monat_monat_12,-255858572663149.44
monat_monat_2,-255858572663151.6
monat_monat_3,-1057710606115961.8
monat_monat_4,-1057710606115964.1
monat_monat_5,-1057710606115965.6
monat_monat_6,283279419479435.44
monat_monat_7,283279419479436.06
monat_monat_8,283279419479435.06
monat_monat_9,-341951267811146.6
kohorte_monat_1,-489329235812161.7
kohorte_monat_10,38851886575082.67
kohorte_monat_11,38851886575074.54
kohorte_monat_12,-489329235812162.6
kohorte_monat_2,-489329235812162.9
kohorte_monat_3,-387797101523942.56
kohorte_monat_4,-387797101523941.3
kohorte_monat_5,-387797101523939.7
kohorte_monat_6,327140288221198.94
kohorte_monat_7,327140288221201.2
kohorte_monat_8,327140288221216.1
kohorte_monat_9,38851886575085.73
monat_jahreszeit_Frühling,791656258154754.2
monat_jahreszeit_Herbst,75896919849934.48
monat_jahreszeit_Sommer,-549333767440649.75
monat_jahreszeit_Winter,-10195775298058.623
kohorte_jahreszeit_Frühling,583238523539700.9
kohorte_jahreszeit_Herbst,156589535440685.25
kohorte_jahreszeit_Sommer,-131698866205440.98
kohorte_jahreszeit_Winter,684770657827920.0
