Name,Coefficient
Intercept,3.898
erster_monat_kohorte_fg,0.665
rabatt_indexiert,0.0
monat_monat_10,0.014
monat_monat_11,0.016
monat_monat_12,0.051
monat_monat_2,0.023
monat_monat_3,0.028
monat_monat_4,0.007
monat_monat_5,-0.003
monat_monat_6,-0.018
monat_monat_7,-0.022
monat_monat_8,-0.065
monat_monat_9,-0.023
kohorte_monat_10,-0.051
kohorte_monat_11,-0.035
kohorte_monat_12,-0.028
kohorte_monat_2,-0.025
kohorte_monat_3,-0.035
kohorte_monat_4,-0.02
kohorte_monat_5,-0.001
kohorte_monat_6,-0.078
kohorte_monat_7,-0.079
kohorte_monat_8,0.195
kohorte_monat_9,0.128
kohorte_jahreszeit_Herbst,0.042
kohorte_jahreszeit_Sommer,0.037
kohorte_jahreszeit_Winter,-0.024
