Name,Coefficient
Intercept,3.966
monate_seit_einfuehrung_programm_kohorte,-0.006
rabatt_indexiert,0.0
monat_monat_10,0.023
monat_monat_11,0.007
monat_monat_12,0.045
monat_monat_2,0.026
monat_monat_3,0.036
monat_monat_4,0.005
monat_monat_5,-0.009
monat_monat_6,0.002
monat_monat_7,-0.001
monat_monat_8,-0.029
monat_monat_9,-0.026
kohorte_monat_10,0.057
kohorte_monat_11,0.026
kohorte_monat_12,-0.03
kohorte_monat_2,-0.011
kohorte_monat_3,0.009
kohorte_monat_4,0.042
kohorte_monat_5,0.07
kohorte_monat_6,0.012
kohorte_monat_7,0.041
kohorte_monat_8,0.247
kohorte_monat_9,0.196
monat_jahreszeit_Herbst,0.004
monat_jahreszeit_Sommer,-0.028
monat_jahreszeit_Winter,-0.009
