Name,Coefficient
Intercept,-2213201762009.02
erster_monat_kohorte_fg,0.651
rabatt_indexiert,0.017
monat_monat_10,-5676052640165.472
monat_monat_11,-5676052640165.486
monat_monat_12,0.059
monat_monat_2,-0.013
monat_monat_3,2213201762012.932
monat_monat_4,2213201762012.903
monat_monat_5,2213201762012.894
monat_monat_6,1380371727752.284
monat_monat_7,1380371727752.282
monat_monat_8,1380371727752.236
monat_monat_9,-5676052640165.515
monat_jahreszeit_Herbst,7889254402178.415
monat_jahreszeit_Sommer,832830034260.594
monat_jahreszeit_Winter,2213201762012.913
