Name,Coefficient
Intercept,-26739180488070.11
kohorte_monat_10,11352687140892.424
kohorte_monat_11,11352687140892.297
kohorte_monat_12,-0.042
kohorte_monat_2,-0.035
kohorte_monat_3,26739180488074.023
kohorte_monat_4,26739180488074.008
kohorte_monat_5,26739180488074.094
kohorte_monat_6,32419796124636.1
kohorte_monat_7,32419796124636.094
kohorte_monat_8,32419796124636.406
kohorte_monat_9,11352687140892.457
kohorte_jahreszeit_Herbst,15386493347181.766
kohorte_jahreszeit_Sommer,-5680615636562.102
kohorte_jahreszeit_Winter,26739180488074.016
