Name,Coefficient
Intercept,3.759
erster_monat_kohorte_fg,0.664
rabatt_indexiert,0.035
monat_monat_10,0.009
monat_monat_11,0.016
monat_monat_12,0.049
monat_monat_2,0.014
monat_monat_3,0.026
monat_monat_4,0.004
monat_monat_5,-0.002
monat_monat_6,-0.018
monat_monat_7,-0.022
monat_monat_8,-0.061
monat_monat_9,-0.023
kohorte_monat_10,0.09
kohorte_monat_11,0.022
kohorte_monat_12,-0.034
kohorte_monat_2,-0.026
kohorte_monat_3,-0.004
kohorte_monat_4,0.011
kohorte_monat_5,0.032
kohorte_monat_6,-0.014
kohorte_monat_7,-0.014
kohorte_monat_8,0.297
kohorte_monat_9,0.185
