Name,Coefficient
Intercept,56.604
erster_monat_kohorte_fg,50.69
monate_seit_einfuehrung_programm_kohorte,-0.546
rabatt_indexiert,0.008
kohorte_monat_1,-0.219
kohorte_monat_10,-1.647
kohorte_monat_11,-3.598
kohorte_monat_12,-1.612
kohorte_monat_2,-0.706
kohorte_monat_3,-1.877
kohorte_monat_4,-0.348
kohorte_monat_5,1.185
kohorte_monat_6,-3.91
kohorte_monat_7,-3.827
kohorte_monat_8,9.517
kohorte_monat_9,7.045
kohorte_jahreszeit_Frühling,-1.041
kohorte_jahreszeit_Herbst,1.801
kohorte_jahreszeit_Sommer,1.779
kohorte_jahreszeit_Winter,-2.538
