Name,Coefficient
Intercept,3.973
monate_seit_einfuehrung_programm_kohorte,-0.007
monat_monat_10,0.037
monat_monat_11,0.029
monat_monat_12,0.052
monat_monat_2,0.027
monat_monat_3,0.052
monat_monat_4,0.017
monat_monat_5,0.002
monat_monat_6,-0.011
monat_monat_7,-0.017
monat_monat_8,-0.047
monat_monat_9,-0.012
kohorte_monat_10,0.147
kohorte_monat_11,0.031
kohorte_monat_12,-0.027
kohorte_monat_2,-0.01
kohorte_monat_3,0.007
kohorte_monat_4,0.043
kohorte_monat_5,0.071
kohorte_monat_6,0.013
kohorte_monat_7,0.043
kohorte_monat_8,0.237
kohorte_monat_9,0.2
