Name,Coefficient
Intercept,4.047
monate_seit_einfuehrung_programm_kohorte,-0.007
kohorte_monat_10,0.039
kohorte_monat_11,-0.077
kohorte_monat_12,-0.026
kohorte_monat_2,-0.011
kohorte_monat_3,-0.044
kohorte_monat_4,-0.01
kohorte_monat_5,0.017
kohorte_monat_6,-0.072
kohorte_monat_7,-0.044
kohorte_monat_8,0.149
kohorte_monat_9,0.094
monat_jahreszeit_Herbst,-0.004
monat_jahreszeit_Sommer,-0.047
monat_jahreszeit_Winter,0.006
kohorte_jahreszeit_Herbst,0.056
kohorte_jahreszeit_Sommer,0.034
kohorte_jahreszeit_Winter,-0.053
