Name,Coefficient
Intercept,3.907
erster_monat_kohorte_fg,0.664
rabatt_indexiert,0.0
kohorte_monat_10,-0.054
kohorte_monat_11,-0.035
kohorte_monat_12,-0.028
kohorte_monat_2,-0.025
kohorte_monat_3,-0.034
kohorte_monat_4,-0.02
kohorte_monat_5,-0.001
kohorte_monat_6,-0.077
kohorte_monat_7,-0.079
kohorte_monat_8,0.194
kohorte_monat_9,0.131
monat_jahreszeit_Herbst,-0.007
monat_jahreszeit_Sommer,-0.044
monat_jahreszeit_Winter,0.016
kohorte_jahreszeit_Herbst,0.042
kohorte_jahreszeit_Sommer,0.038
kohorte_jahreszeit_Winter,-0.024
