Name,Coefficient
Intercept,3.794
rabatt_indexiert,0.032
monat_monat_10,0.036
monat_monat_11,0.019
monat_monat_12,0.047
monat_monat_2,0.015
monat_monat_3,0.04
monat_monat_4,0.007
monat_monat_5,-0.002
monat_monat_6,-0.027
monat_monat_7,-0.027
monat_monat_8,-0.053
monat_monat_9,-0.004
kohorte_monat_10,0.107
kohorte_monat_11,0.024
kohorte_monat_12,-0.033
kohorte_monat_2,-0.021
kohorte_monat_3,0.01
kohorte_monat_4,0.033
kohorte_monat_5,0.056
kohorte_monat_6,-0.003
kohorte_monat_7,0.024
kohorte_monat_8,0.308
kohorte_monat_9,0.196
