Name,Coefficient
Intercept,802458510295818.9
erster_monat_kohorte_fg,47.31
monat_monat_10,0.928
monat_monat_11,2.575
monat_monat_12,4.813
monat_monat_2,1.316
monat_monat_3,2.675
monat_monat_4,0.557
monat_monat_5,-0.431
monat_monat_6,-1.339
monat_monat_7,-0.629
monat_monat_8,-3.485
monat_monat_9,-2.048
kohorte_monat_10,-1112767402248487.0
kohorte_monat_11,-1112767402248493.8
kohorte_monat_12,-0.858
kohorte_monat_2,-1.794
kohorte_monat_3,-802458510295770.6
kohorte_monat_4,-802458510295770.2
kohorte_monat_5,-802458510295769.8
kohorte_monat_6,732725922369405.2
kohorte_monat_7,732725922369405.9
kohorte_monat_8,732725922369422.8
kohorte_monat_9,-1112767402248483.4
kohorte_jahreszeit_Herbst,310308891952725.44
kohorte_jahreszeit_Sommer,-1535184432665176.8
kohorte_jahreszeit_Winter,-802458510295770.6
