Name,Coefficient
Intercept,56.83
monate_seit_einfuehrung_programm_kohorte,-0.304
rabatt_indexiert,0.01
kohorte_monat_1,-0.399
kohorte_monat_10,-2.015
kohorte_monat_11,-4.019
kohorte_monat_12,-1.776
kohorte_monat_2,-0.944
kohorte_monat_3,-1.928
kohorte_monat_4,-0.163
kohorte_monat_5,1.262
kohorte_monat_6,-5.018
kohorte_monat_7,-3.253
kohorte_monat_8,10.584
kohorte_monat_9,7.668
kohorte_jahreszeit_Frühling,-0.828
kohorte_jahreszeit_Herbst,1.634
kohorte_jahreszeit_Sommer,2.313
kohorte_jahreszeit_Winter,-3.119
