Name,Coefficient
Intercept,-15645096891.058
erster_monat_kohorte_fg,50.756
monate_seit_einfuehrung_programm_kohorte,-0.542
rabatt_indexiert,0.008
monat_monat_1,-1307359271.21
monat_monat_10,-1307359270.838
monat_monat_11,-1307359270.068
monat_monat_12,-1307359268.561
monat_monat_2,-1307359269.712
monat_monat_3,-1307359269.507
monat_monat_4,-1307359270.419
monat_monat_5,-1307359270.978
monat_monat_6,-1307359271.051
monat_monat_7,-1307359271.422
monat_monat_8,-1307359273.536
monat_monat_9,-1307359273.12
kohorte_monat_1,-32225503158.831
kohorte_monat_10,1279779717.355
kohorte_monat_11,1279779715.201
kohorte_monat_12,-32225503160.33
kohorte_monat_2,-32225503159.253
kohorte_monat_3,8718350337.596
kohorte_monat_4,8718350339.257
kohorte_monat_5,8718350340.69
kohorte_monat_6,11869853702.714
kohorte_monat_7,11869853702.86
kohorte_monat_8,11869853716.203
kohorte_monat_9,1279779725.703
kohorte_jahreszeit_Frühling,8234105878.095
kohorte_jahreszeit_Herbst,15672676501.594
kohorte_jahreszeit_Sommer,5082602513.824
kohorte_jahreszeit_Winter,49177959374.624
