Name,Coefficient
Intercept,8380937092335.756
monat_monat_10,0.025
monat_monat_11,0.031
monat_monat_12,0.038
monat_monat_2,0.025
monat_monat_3,0.069
monat_monat_4,-0.0
monat_monat_5,-0.013
monat_monat_6,-0.022
monat_monat_7,-0.027
monat_monat_8,-0.048
monat_monat_9,0.012
kohorte_monat_10,34726437035907.605
kohorte_monat_11,34726437035907.453
kohorte_monat_12,-0.003
kohorte_monat_2,-0.013
kohorte_monat_3,-8380937092331.851
kohorte_monat_4,-8380937092331.844
kohorte_monat_5,-8380937092331.832
kohorte_monat_6,-9869860575884.129
kohorte_monat_7,-9869860575884.107
kohorte_monat_8,-9869860575883.861
kohorte_monat_9,34726437035907.61
kohorte_jahreszeit_Herbst,-43107374128239.25
kohorte_jahreszeit_Sommer,1488923483552.263
kohorte_jahreszeit_Winter,-8380937092331.865
