Name,Coefficient
Intercept,52.933
rabatt_indexiert,0.013
monat_monat_10,1.656
monat_monat_11,-0.039
monat_monat_12,2.787
monat_monat_2,1.294
monat_monat_3,1.82
monat_monat_4,0.085
monat_monat_5,-0.466
monat_monat_6,-0.3
monat_monat_7,0.006
monat_monat_8,-1.362
monat_monat_9,-0.934
kohorte_monat_10,-2.752
kohorte_monat_11,-3.252
kohorte_monat_12,-1.412
kohorte_monat_2,-0.881
kohorte_monat_3,-2.104
kohorte_monat_4,-0.765
kohorte_monat_5,0.378
kohorte_monat_6,-5.512
kohorte_monat_7,-3.698
kohorte_monat_8,12.15
kohorte_monat_9,8.163
monat_jahreszeit_Herbst,0.683
monat_jahreszeit_Sommer,-1.656
monat_jahreszeit_Winter,-0.467
kohorte_jahreszeit_Herbst,2.159
kohorte_jahreszeit_Sommer,2.94
kohorte_jahreszeit_Winter,-2.609
