Name,Coefficient
Intercept,26521727535.434
erster_monat_kohorte_fg,0.726
monate_seit_einfuehrung_programm_kohorte,-0.01
rabatt_indexiert,0.009
monat_monat_10,19368119896.16
monat_monat_11,19368119896.179
monat_monat_12,0.048
monat_monat_2,0.025
monat_monat_3,-4501879449.101
monat_monat_4,-4501879449.122
monat_monat_5,-4501879449.134
monat_monat_6,-4464920923.398
monat_monat_7,-4464920923.41
monat_monat_8,-4464920923.449
monat_monat_9,19368119896.119
kohorte_monat_10,-1993672080.375
kohorte_monat_11,-1993672080.466
kohorte_monat_12,-0.03
kohorte_monat_2,-0.01
kohorte_monat_3,-22019848082.351
kohorte_monat_4,-22019848082.319
kohorte_monat_5,-22019848082.29
kohorte_monat_6,-13055492480.134
kohorte_monat_7,-13055492480.131
kohorte_monat_8,-13055492479.927
kohorte_monat_9,-1993672080.308
monat_jahreszeit_Herbst,-23869999345.294
monat_jahreszeit_Sommer,-36958525.737
monat_jahreszeit_Winter,-4501879449.137
kohorte_jahreszeit_Herbst,-20026176001.86
kohorte_jahreszeit_Sommer,-8964355602.202
kohorte_jahreszeit_Winter,-22019848082.349
