Name,Coefficient
Intercept,-1501644677581014.5
kohorte_monat_10,573026952561513.9
kohorte_monat_11,573026952561506.9
kohorte_monat_12,-2.109
kohorte_monat_2,-1.406
kohorte_monat_3,1501644677581065.8
kohorte_monat_4,1501644677581065.5
kohorte_monat_5,1501644677581070.2
kohorte_monat_6,1808261478758143.5
kohorte_monat_7,1808261478758143.8
kohorte_monat_8,1808261478758162.8
kohorte_monat_9,573026952561517.5
kohorte_jahreszeit_Herbst,928617725019561.2
kohorte_jahreszeit_Sommer,-306616801177078.3
kohorte_jahreszeit_Winter,1501644677581065.5
