Name,Coefficient
Intercept,-218590774597969.56
monat_monat_10,-355744532332818.75
monat_monat_11,-355744532332820.5
monat_monat_12,3.75
monat_monat_2,-0.609
monat_monat_3,218590774598027.06
monat_monat_4,218590774598024.94
monat_monat_5,218590774598024.3
monat_monat_6,21988933503750.312
monat_monat_7,21988933503750.58
monat_monat_8,21988933503748.812
monat_monat_9,-355744532332820.7
monat_jahreszeit_Herbst,574335306930847.0
monat_jahreszeit_Sommer,196601841094272.3
monat_jahreszeit_Winter,218590774598024.88
