Name,Coefficient
Intercept,49.684
erster_monat_kohorte_fg,47.507
rabatt_indexiert,0.014
monat_monat_10,0.939
monat_monat_11,1.009
monat_monat_12,2.961
monat_monat_2,1.272
monat_monat_3,1.364
monat_monat_4,0.379
monat_monat_5,0.016
monat_monat_6,-0.824
monat_monat_7,-0.852
monat_monat_8,-3.125
monat_monat_9,-1.072
kohorte_monat_10,-3.16
kohorte_monat_11,-2.552
kohorte_monat_12,-1.378
kohorte_monat_2,-1.229
kohorte_monat_3,-2.048
kohorte_monat_4,-1.271
kohorte_monat_5,-0.316
kohorte_monat_6,-4.884
kohorte_monat_7,-4.958
kohorte_monat_8,12.458
kohorte_monat_9,8.221
kohorte_jahreszeit_Herbst,2.51
kohorte_jahreszeit_Sommer,2.616
kohorte_jahreszeit_Winter,-1.491
