Name,Coefficient
Intercept,-165411875189079.7
erster_monat_kohorte_fg,46.966
monat_monat_10,-217885440815343.4
monat_monat_11,-217885440815342.12
monat_monat_12,3.798
monat_monat_2,1.308
monat_monat_3,165411875189130.06
monat_monat_4,165411875189128.94
monat_monat_5,165411875189128.2
monat_monat_6,274162333755864.1
monat_monat_7,274162333755863.7
monat_monat_8,274162333755861.38
monat_monat_9,-217885440815345.66
kohorte_monat_10,8.541
kohorte_monat_11,1.978
kohorte_monat_12,-1.004
kohorte_monat_2,-1.339
kohorte_monat_3,-0.79
kohorte_monat_4,0.012
kohorte_monat_5,0.84
kohorte_monat_6,-0.965
kohorte_monat_7,-1.047
kohorte_monat_8,16.156
kohorte_monat_9,12.782
monat_jahreszeit_Herbst,383297316004472.9
monat_jahreszeit_Sommer,-108750458566736.19
monat_jahreszeit_Winter,165411875189128.34
