Name,Coefficient
Intercept,53.731
monate_seit_einfuehrung_programm_kohorte,-0.362
monat_monat_10,2.683
monat_monat_11,1.782
monat_monat_12,3.069
monat_monat_2,1.501
monat_monat_3,2.935
monat_monat_4,0.999
monat_monat_5,0.254
monat_monat_6,-0.651
monat_monat_7,-0.661
monat_monat_8,-2.049
monat_monat_9,-0.098
kohorte_monat_10,8.63
kohorte_monat_11,1.564
kohorte_monat_12,-1.294
kohorte_monat_2,-0.366
kohorte_monat_3,0.709
kohorte_monat_4,2.676
kohorte_monat_5,4.11
kohorte_monat_6,0.977
kohorte_monat_7,3.016
kohorte_monat_8,15.904
kohorte_monat_9,12.797
