Name,Coefficient
Intercept,9351476268.48
erster_monat_kohorte_fg,50.757
monate_seit_einfuehrung_programm_kohorte,-0.542
rabatt_indexiert,0.008
monat_monat_10,25175515459.244
monat_monat_11,25175515460.013
monat_monat_12,2.649
monat_monat_2,1.498
monat_monat_3,-9351476213.252
monat_monat_4,-9351476214.164
monat_monat_5,-9351476214.723
monat_monat_6,-3246043956.383
monat_monat_7,-3246043956.754
monat_monat_8,-3246043958.868
monat_monat_9,25175515456.962
kohorte_monat_10,3.156
kohorte_monat_11,1.001
kohorte_monat_12,-1.499
kohorte_monat_2,-0.423
kohorte_monat_3,-0.102
kohorte_monat_4,1.559
kohorte_monat_5,2.992
kohorte_monat_6,0.745
kohorte_monat_7,0.89
kohorte_monat_8,14.233
kohorte_monat_9,11.503
monat_jahreszeit_Herbst,-34526991673.827
monat_jahreszeit_Sommer,-6105432258.413
monat_jahreszeit_Winter,-9351476214.955
