Name,Coefficient
Intercept,57.137
monate_seit_einfuehrung_programm_kohorte,-0.389
rabatt_indexiert,0.007
monat_monat_10,1.853
monat_monat_11,-0.168
monat_monat_12,2.863
monat_monat_2,0.615
monat_monat_3,1.841
monat_monat_4,0.007
monat_monat_5,-0.5
monat_monat_6,-0.291
monat_monat_7,-0.083
monat_monat_8,-1.385
monat_monat_9,-0.886
monat_jahreszeit_Herbst,0.799
monat_jahreszeit_Sommer,-1.759
monat_jahreszeit_Winter,-0.387
kohorte_jahreszeit_Herbst,3.701
kohorte_jahreszeit_Sommer,6.171
kohorte_jahreszeit_Winter,-3.143
