Name,Coefficient
Intercept,329396905371130.06
kohorte_monat_1,-54855482872075.55
kohorte_monat_10,-54855482872066.625
kohorte_monat_11,-54855482872073.6
kohorte_monat_12,-54855482872076.73
kohorte_monat_2,-54855482872076.805
kohorte_monat_3,-54855482872074.96
kohorte_monat_4,-54855482872073.8
kohorte_monat_5,-54855482872073.0
kohorte_monat_6,-54855482872075.8
kohorte_monat_7,-54855482872074.1
kohorte_monat_8,-54855482872058.31
kohorte_monat_9,-54855482872062.1
monat_jahreszeit_Frühling,-274541422499003.2
monat_jahreszeit_Herbst,-274541422499002.62
monat_jahreszeit_Sommer,-274541422499005.6
monat_jahreszeit_Winter,-274541422499002.44
