Name,Coefficient
Intercept,189096315077844.6
monat_monat_10,-272241005219548.62
monat_monat_11,-272241005219550.44
monat_monat_12,4.286
monat_monat_2,1.051
monat_monat_3,-189096315077790.2
monat_monat_4,-189096315077792.2
monat_monat_5,-189096315077792.75
monat_monat_6,235257335603765.72
monat_monat_7,235257335603766.1
monat_monat_8,235257335603765.03
monat_monat_9,-272241005219551.3
monat_jahreszeit_Herbst,83144690141759.72
monat_jahreszeit_Sommer,-424353650681560.6
monat_jahreszeit_Winter,-189096315077792.88
kohorte_jahreszeit_Herbst,6.805
kohorte_jahreszeit_Sommer,7.178
kohorte_jahreszeit_Winter,-2.136
