Name,Coefficient
Intercept,58.605
monate_seit_einfuehrung_programm_kohorte,-0.362
monat_monat_1,-1.346
monat_monat_10,1.388
monat_monat_11,0.487
monat_monat_12,1.723
monat_monat_2,0.155
monat_monat_3,1.684
monat_monat_4,-0.252
monat_monat_5,-0.996
monat_monat_6,-0.014
monat_monat_7,-0.024
monat_monat_8,-1.412
monat_monat_9,-1.393
kohorte_monat_1,-4.06
kohorte_monat_10,4.57
kohorte_monat_11,-2.496
kohorte_monat_12,-5.354
kohorte_monat_2,-4.426
kohorte_monat_3,-3.351
kohorte_monat_4,-1.385
kohorte_monat_5,0.05
kohorte_monat_6,-3.083
kohorte_monat_7,-1.044
kohorte_monat_8,11.844
kohorte_monat_9,8.736
monat_jahreszeit_Frühling,0.437
monat_jahreszeit_Herbst,0.482
monat_jahreszeit_Sommer,-1.451
monat_jahreszeit_Winter,0.532
