Name,Coefficient
Intercept,-412313693464752.2
monat_monat_1,-881692869147946.9
monat_monat_10,-881692869147943.9
monat_monat_11,-881692869147945.2
monat_monat_12,-881692869147942.9
monat_monat_2,-881692869147948.1
monat_monat_3,-881692869147942.5
monat_monat_4,-881692869147945.4
monat_monat_5,-881692869147947.8
monat_monat_6,-881692869147949.5
monat_monat_7,-881692869147950.9
monat_monat_8,-881692869147950.6
monat_monat_9,-881692869147947.2
kohorte_jahreszeit_Frühling,1294006562612751.0
kohorte_jahreszeit_Herbst,1294006562612758.2
kohorte_jahreszeit_Sommer,1294006562612758.2
kohorte_jahreszeit_Winter,1294006562612750.5
