Name,Coefficient
Intercept,4.039
erster_monat_kohorte_fg,0.724
monate_seit_einfuehrung_programm_kohorte,-0.01
kohorte_monat_10,0.033
kohorte_monat_11,-0.068
kohorte_monat_12,-0.027
kohorte_monat_2,-0.01
kohorte_monat_3,-0.044
kohorte_monat_4,-0.013
kohorte_monat_5,0.015
kohorte_monat_6,-0.055
kohorte_monat_7,-0.054
kohorte_monat_8,0.137
kohorte_monat_9,0.091
monat_jahreszeit_Herbst,-0.02
monat_jahreszeit_Sommer,-0.037
monat_jahreszeit_Winter,0.009
kohorte_jahreszeit_Herbst,0.055
kohorte_jahreszeit_Sommer,0.028
kohorte_jahreszeit_Winter,-0.041
