Name,Coefficient
Intercept,14205048216.086
erster_monat_kohorte_fg,50.757
monate_seit_einfuehrung_programm_kohorte,-0.542
rabatt_indexiert,0.008
monat_monat_10,12136646875.94
monat_monat_11,12136646876.71
monat_monat_12,2.649
monat_monat_2,1.498
monat_monat_3,-2010031836.097
monat_monat_4,-2010031837.009
monat_monat_5,-2010031837.569
monat_monat_6,-1547753299.992
monat_monat_7,-1547753300.364
monat_monat_8,-1547753302.477
monat_monat_9,12136646873.658
kohorte_monat_10,-623461651.093
kohorte_monat_11,-623461653.248
kohorte_monat_12,-1.499
kohorte_monat_2,-0.423
kohorte_monat_3,-12195016324.863
kohorte_monat_4,-12195016323.202
kohorte_monat_5,-12195016321.769
kohorte_monat_6,-6392599680.581
kohorte_monat_7,-6392599680.435
kohorte_monat_8,-6392599667.092
kohorte_monat_9,-623461642.745
monat_jahreszeit_Herbst,-14146678713.369
monat_jahreszeit_Sommer,-462278537.648
monat_jahreszeit_Winter,-2010031837.8
kohorte_jahreszeit_Herbst,-11571554670.513
kohorte_jahreszeit_Sommer,-5802416643.436
kohorte_jahreszeit_Winter,-12195016324.761
