Name,Coefficient
Intercept,425656676426.524
monat_monat_10,2314968176194.76
monat_monat_11,2314968176194.748
monat_monat_12,0.068
monat_monat_2,0.024
monat_monat_3,-425656676422.57
monat_monat_4,-425656676422.612
monat_monat_5,-425656676422.624
monat_monat_6,4213096032875.674
monat_monat_7,4213096032875.664
monat_monat_8,4213096032875.64
monat_monat_9,2314968176194.712
kohorte_monat_10,0.159
kohorte_monat_11,0.039
kohorte_monat_12,-0.021
kohorte_monat_2,-0.021
kohorte_monat_3,0.002
kohorte_monat_4,0.021
kohorte_monat_5,0.044
kohorte_monat_6,-0.007
kohorte_monat_7,0.017
kohorte_monat_8,0.266
kohorte_monat_9,0.216
monat_jahreszeit_Herbst,-2740624852617.334
monat_jahreszeit_Sommer,-4638752709298.312
monat_jahreszeit_Winter,-425656676422.624
