Name,Coefficient
Intercept,3.9
erster_monat_kohorte_fg,0.665
rabatt_indexiert,0.0
monat_monat_10,0.012
monat_monat_11,0.014
monat_monat_12,0.051
monat_monat_2,0.023
monat_monat_3,0.026
monat_monat_4,0.005
monat_monat_5,-0.004
monat_monat_6,0.008
monat_monat_7,0.004
monat_monat_8,-0.039
monat_monat_9,-0.025
kohorte_monat_10,-0.051
kohorte_monat_11,-0.035
kohorte_monat_12,-0.028
kohorte_monat_2,-0.025
kohorte_monat_3,-0.035
kohorte_monat_4,-0.02
kohorte_monat_5,-0.001
kohorte_monat_6,-0.078
kohorte_monat_7,-0.079
kohorte_monat_8,0.195
kohorte_monat_9,0.128
monat_jahreszeit_Herbst,0.001
monat_jahreszeit_Sommer,-0.027
monat_jahreszeit_Winter,-0.001
kohorte_jahreszeit_Herbst,0.042
kohorte_jahreszeit_Sommer,0.037
kohorte_jahreszeit_Winter,-0.024
