Name,Coefficient
Intercept,-466725280778486.56
erster_monat_kohorte_fg,47.449
monat_monat_1,-76254927955518.06
monat_monat_10,396371047431155.4
monat_monat_11,396371047431159.0
monat_monat_12,-76254927955515.69
monat_monat_2,-76254927955517.03
monat_monat_3,759471545781978.4
monat_monat_4,759471545781974.9
monat_monat_5,759471545781973.2
monat_monat_6,-1161396148378774.2
monat_monat_7,-1161396148378772.5
monat_monat_8,-1161396148378775.2
monat_monat_9,396371047431155.94
kohorte_monat_1,-331262884765609.9
kohorte_monat_10,-331262884765601.56
kohorte_monat_11,-331262884765607.9
kohorte_monat_12,-331262884765610.5
kohorte_monat_2,-331262884765611.3
kohorte_monat_3,-331262884765611.0
kohorte_monat_4,-331262884765609.8
kohorte_monat_5,-331262884765608.44
kohorte_monat_6,-331262884765610.9
kohorte_monat_7,-331262884765611.56
kohorte_monat_8,-331262884765593.9
kohorte_monat_9,-331262884765597.2
monat_jahreszeit_Frühling,38516619762170.19
monat_jahreszeit_Herbst,401617118112988.25
monat_jahreszeit_Sommer,1959384313922917.5
monat_jahreszeit_Winter,874243093499665.2
