Name,Coefficient
Intercept,56.509
erster_monat_kohorte_fg,51.269
monate_seit_einfuehrung_programm_kohorte,-0.632
rabatt_indexiert,0.005
monat_monat_10,0.723
monat_monat_11,0.865
monat_monat_12,2.836
monat_monat_2,0.78
monat_monat_3,1.274
monat_monat_4,0.242
monat_monat_5,-0.135
monat_monat_6,0.571
monat_monat_7,0.204
monat_monat_8,-1.949
monat_monat_9,-1.619
monat_jahreszeit_Herbst,-0.032
monat_jahreszeit_Sommer,-1.173
monat_jahreszeit_Winter,-0.176
kohorte_jahreszeit_Herbst,4.15
kohorte_jahreszeit_Sommer,5.575
kohorte_jahreszeit_Winter,-2.133
