Name,Coefficient
Intercept,-34786334130482.69
erster_monat_kohorte_fg,48.329
kohorte_monat_1,581736009537040.5
kohorte_monat_10,-241958142960085.38
kohorte_monat_11,-241958142960091.3
kohorte_monat_12,581736009537039.9
kohorte_monat_2,581736009537039.0
kohorte_monat_3,-762108729539156.1
kohorte_monat_4,-762108729539156.5
kohorte_monat_5,-762108729539156.6
kohorte_monat_6,474387074856146.75
kohorte_monat_7,474387074856146.1
kohorte_monat_8,474387074856163.4
kohorte_monat_9,-241958142960080.53
kohorte_jahreszeit_Frühling,796895063669688.5
kohorte_jahreszeit_Herbst,276744477090624.25
kohorte_jahreszeit_Sommer,-439600740725616.6
kohorte_jahreszeit_Winter,-546949675406508.44
