Name,Coefficient
Intercept,56.967
monate_seit_einfuehrung_programm_kohorte,-0.293
rabatt_indexiert,0.01
monat_monat_1,-1.155
monat_monat_10,1.53
monat_monat_11,0.147
monat_monat_12,1.458
monat_monat_2,0.263
monat_monat_3,1.507
monat_monat_4,-0.217
monat_monat_5,-0.881
monat_monat_6,-0.147
monat_monat_7,-0.014
monat_monat_8,-1.263
monat_monat_9,-1.227
kohorte_monat_1,-3.58
kohorte_monat_10,-0.27
kohorte_monat_11,-2.304
kohorte_monat_12,-5.059
kohorte_monat_2,-4.012
kohorte_monat_3,-2.789
kohorte_monat_4,-0.953
kohorte_monat_5,0.456
kohorte_monat_6,-2.691
kohorte_monat_7,-0.689
kohorte_monat_8,12.902
kohorte_monat_9,8.989
monat_jahreszeit_Frühling,0.409
monat_jahreszeit_Herbst,0.45
monat_jahreszeit_Sommer,-1.425
monat_jahreszeit_Winter,0.566
