Name,Coefficient
Intercept,56.899
monate_seit_einfuehrung_programm_kohorte,-0.293
rabatt_indexiert,0.01
kohorte_monat_1,-0.409
kohorte_monat_10,-1.981
kohorte_monat_11,-3.923
kohorte_monat_12,-1.864
kohorte_monat_2,-0.907
kohorte_monat_3,-1.89
kohorte_monat_4,-0.108
kohorte_monat_5,1.18
kohorte_monat_6,-5.001
kohorte_monat_7,-3.095
kohorte_monat_8,10.486
kohorte_monat_9,7.512
monat_jahreszeit_Frühling,0.462
monat_jahreszeit_Herbst,0.583
monat_jahreszeit_Sommer,-1.863
monat_jahreszeit_Winter,0.818
kohorte_jahreszeit_Frühling,-0.818
kohorte_jahreszeit_Herbst,1.608
kohorte_jahreszeit_Sommer,2.389
kohorte_jahreszeit_Winter,-3.18
