Name,Coefficient
Intercept,4.016
erster_monat_kohorte_fg,0.73
monate_seit_einfuehrung_programm_kohorte,-0.011
rabatt_indexiert,0.0
monat_monat_10,0.012
monat_monat_11,0.017
monat_monat_12,0.048
monat_monat_2,0.016
monat_monat_3,0.027
monat_monat_4,0.006
monat_monat_5,-0.004
monat_monat_6,0.012
monat_monat_7,0.002
monat_monat_8,-0.038
monat_monat_9,-0.031
monat_jahreszeit_Herbst,-0.003
monat_jahreszeit_Sommer,-0.024
monat_jahreszeit_Winter,-0.002
kohorte_jahreszeit_Herbst,0.067
kohorte_jahreszeit_Sommer,0.08
kohorte_jahreszeit_Winter,-0.04
