MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,KOHORTE,KOHORTENGROESSE,KOHORTENGROESSE_KUMULIERT,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_UNTER_20,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_20-29,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_30-39,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_40-49,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_50-59,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_60-69,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_70-79,BEVOELKERUNGSANTEIL_KUMULIERT_KOHORTE_80_ODER_AELTER,MONAT,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,IDENTIFIZIERTE_KUNDEN,RETENTIONRATE,ANZ_BONS,ABVERKAUF,UMSATZ,RABATT,RABATT_PROZENTUAL_VON_UMSATZ,EINGELOESTE_COUPONS
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,201909,0,19,0.000000,0.000000,0.000000,0.00000000000,0.000000000000,0.00000000000,0.00000000000,0.000000
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,201910,0,20,77.777800,77.777800,311.111100,6635.90370370400,7996.222222222200,-226.52070370400,-2.83284652900,300.000000
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,201911,0,21,81.481500,81.481500,396.296300,7717.90000000000,11795.851851851900,-180.88011111100,-1.53342135300,222.222200
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,201912,0,22,74.074100,74.074100,462.963000,10867.63333333300,14300.777777777800,-335.37300000000,-2.34513818200,344.444400
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,202001,0,23,81.481500,81.481500,381.481500,9160.80000000000,10383.037037037000,-302.84040740700,-2.91668426400,296.296300
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,202002,0,24,77.777800,77.777800,396.296300,9456.54444444400,12343.037037037000,-197.38318518500,-1.59914601700,229.629600
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,202003,0,25,77.777800,77.777800,422.222200,10190.69259259300,12979.333333333300,-272.88300000000,-2.10244234400,444.444400
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,202004,0,26,66.666700,66.666700,314.814800,8155.17037037000,11282.185185185200,-197.89100000000,-1.75401304600,337.037000
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,202005,0,27,81.481500,81.481500,355.555600,8364.40740740700,13430.703703703700,-154.94766666700,-1.15368241400,351.851900
1,201803,100.000000,100.000000,0,0,0.000589683239,0.0005654377013,0.0003676465182,0.0006174446641,0.000130986921,0.0002296917995,202006,0,28,74.074100,74.074100,344.444400,7726.48888888900,11068.666666666700,-237.79688888900,-2.14837880700,340.740700
