MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,KOHORTE,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-2,201706,201408,0,34,0.41,0.08,0.32,78.594200,1.23,222.73,0.000093559600,1.63,1.14,4.16,501.32,75.60,70.21,378.98,351.98,1282.88
-2,201707,201408,0,35,0.41,0.08,0.33,79.233200,1.20,220.90,0.000091709500,1.57,1.12,3.79,480.61,76.04,71.39,365.47,343.11,1159.23
-2,201708,201408,0,36,0.41,0.08,0.31,74.440900,1.11,211.60,0.000089210600,1.54,1.02,2.90,502.02,72.20,65.84,362.46,330.52,942.80
-1,201409,201409,1,0,27.34,5.52,27.34,100.000000,15.31,2.51,0.103187767300,22.15,17.16,47.67,81.02,69.09,77.44,55.98,62.75,174.34
-1,201410,201409,0,1,27.34,5.52,26.22,95.894400,69.07,98.86,0.011840110900,96.28,77.91,252.32,367.23,71.74,80.92,263.45,297.16,962.39
-1,201411,201409,0,2,27.34,5.52,23.16,84.721200,55.48,100.00,0.009402145300,74.54,60.39,96.07,321.79,74.44,81.01,239.53,260.69,414.72
-1,201412,201409,0,3,27.34,5.52,23.62,86.375900,64.09,124.57,0.008717850500,73.51,64.67,149.79,311.29,87.18,87.97,271.37,273.86,634.26
-1,201501,201409,0,4,27.34,5.52,22.80,83.375100,54.39,112.12,0.008220095400,66.37,57.07,95.79,291.14,81.95,85.99,238.58,250.35,420.19
-1,201502,201409,0,5,27.34,5.52,22.55,82.477800,49.79,98.69,0.008549261000,60.00,51.39,73.62,266.09,82.98,85.64,220.80,227.88,326.46
-1,201503,201409,0,6,27.34,5.52,22.32,81.628700,53.80,114.62,0.007953804400,67.14,55.46,86.98,300.81,80.14,82.61,241.06,248.51,389.75
-1,201504,201409,0,7,27.34,5.52,21.59,78.960800,56.13,116.90,0.008137287700,66.32,54.06,78.78,307.21,84.64,81.52,260.02,250.43,364.94
-1,201505,201409,0,8,27.34,5.52,21.72,79.433600,60.08,129.83,0.007840914200,73.03,57.62,96.85,336.26,82.26,78.91,276.62,265.33,445.93
-1,201506,201409,0,9,27.34,5.52,21.67,79.240600,60.97,131.75,0.007842160600,75.38,60.48,136.43,347.94,80.89,80.23,281.44,279.16,629.70
-1,201507,201409,0,10,27.34,5.52,21.47,78.521800,59.72,141.43,0.007156150300,71.57,59.86,117.33,333.36,83.45,83.64,278.20,278.81,546.51
-1,201508,201409,0,11,27.34,5.52,21.37,78.155200,55.87,132.63,0.007138878500,69.79,57.03,94.39,326.62,80.06,81.71,261.48,266.88,441.72
-1,201509,201409,0,12,27.34,5.52,21.83,79.843700,53.79,127.05,0.007174509800,68.27,51.78,77.03,312.73,78.79,75.84,246.42,237.18,352.87
-1,201510,201409,0,13,27.34,5.52,21.61,79.052500,56.29,140.60,0.006784368800,69.61,51.66,92.53,322.05,80.87,74.22,260.45,239.02,428.13
-1,201511,201409,0,14,27.34,5.52,21.07,77.045500,56.38,136.74,0.006987127700,66.90,49.86,87.30,317.59,84.28,74.52,267.66,236.68,414.43
-1,201512,201409,0,15,27.34,5.52,21.24,77.677500,64.14,167.20,0.006500371500,64.13,51.92,91.71,301.97,100.01,80.96,302.01,244.48,431.84
