monate_seit_einfuehrung_programm_kohorte,monat,monat_jahr,monat_monat,monat_jahreszeit,kohorte,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,erster_monat_kohorte_fg,monate_seit_existenz_kohorte,kohortengroesse_indexiert,identifizierte_kunden_indexiert,rabatt_indexiert,retentionrate
22,201702,2017,2,Winter,201608,2016,8,Sommer,False,6,22.85,10.29,40.18,45.03282275711159
22,201703,2017,3,Frühling,201608,2016,8,Sommer,False,7,22.85,10.5,43.59,45.95185995623632
22,201704,2017,4,Frühling,201608,2016,8,Sommer,False,8,22.85,10.12,33.21,44.28884026258205
22,201705,2017,5,Frühling,201608,2016,8,Sommer,False,9,22.85,9.7,21.52,42.4507658643326
22,201706,2017,6,Sommer,201608,2016,8,Sommer,False,10,22.85,9.57,23.12,41.881838074398246
22,201707,2017,7,Sommer,201608,2016,8,Sommer,False,11,22.85,9.42,25.15,41.2253829321663
22,201708,2017,8,Sommer,201608,2016,8,Sommer,False,12,22.85,9.33,18.07,40.83150984682713
23,201609,2016,9,Herbst,201609,2016,9,Herbst,True,0,27.14,27.14,48.78,100.0
23,201610,2016,10,Herbst,201609,2016,9,Herbst,False,1,27.14,16.84,55.08,62.04863669859984
23,201611,2016,11,Herbst,201609,2016,9,Herbst,False,2,27.14,15.75,85.64,58.03242446573324
23,201612,2016,12,Winter,201609,2016,9,Herbst,False,3,27.14,15.26,64.96,56.22697126013264
23,201701,2017,1,Winter,201609,2016,9,Herbst,False,4,27.14,13.6,32.02,50.1105379513633
23,201702,2017,2,Winter,201609,2016,9,Herbst,False,5,27.14,13.58,52.24,50.03684598378777
23,201703,2017,3,Frühling,201609,2016,9,Herbst,False,6,27.14,13.95,58.35,51.40014738393515
23,201704,2017,4,Frühling,201609,2016,9,Herbst,False,7,27.14,13.03,42.23,48.010316875460575
23,201705,2017,5,Frühling,201609,2016,9,Herbst,False,8,27.14,12.48,29.72,45.983787767133386
23,201706,2017,6,Sommer,201609,2016,9,Herbst,False,9,27.14,12.32,31.46,45.39425202652911
23,201707,2017,7,Sommer,201609,2016,9,Herbst,False,10,27.14,11.48,31.09,42.299189388356666
23,201708,2017,8,Sommer,201609,2016,9,Herbst,False,11,27.14,11.27,24.01,41.52542372881356
24,201610,2016,10,Herbst,201610,2016,10,Herbst,True,0,34.79,34.79,82.85,100.0
24,201611,2016,11,Herbst,201610,2016,10,Herbst,False,1,34.79,21.14,120.49,60.7645875251509
24,201612,2016,12,Winter,201610,2016,10,Herbst,False,2,34.79,20.11,89.29,57.80396665708537
24,201701,2017,1,Winter,201610,2016,10,Herbst,False,3,34.79,17.66,45.38,50.76171313595861
24,201702,2017,2,Winter,201610,2016,10,Herbst,False,4,34.79,17.53,69.36,50.38804254096006
24,201703,2017,3,Frühling,201610,2016,10,Herbst,False,5,34.79,18.06,74.76,51.91146881287726
24,201704,2017,4,Frühling,201610,2016,10,Herbst,False,6,34.79,16.61,52.93,47.74360448404714
24,201705,2017,5,Frühling,201610,2016,10,Herbst,False,7,34.79,15.56,35.21,44.72549583213568
24,201706,2017,6,Sommer,201610,2016,10,Herbst,False,8,34.79,15.34,37.53,44.09313020983041
24,201707,2017,7,Sommer,201610,2016,10,Herbst,False,9,34.79,14.35,37.69,41.24748490945674
24,201708,2017,8,Sommer,201610,2016,10,Herbst,False,10,34.79,14.1,27.68,40.52888761138258
25,201611,2016,11,Herbst,201611,2016,11,Herbst,True,0,38.13,38.13,168.72,100.0
25,201612,2016,12,Winter,201611,2016,11,Herbst,False,1,38.13,23.28,100.14,61.05428796223445
25,201701,2017,1,Winter,201611,2016,11,Herbst,False,2,38.13,19.59,50.47,51.37686860739574
25,201702,2017,2,Winter,201611,2016,11,Herbst,False,3,38.13,19.7,79.66,51.66535536323104
25,201703,2017,3,Frühling,201611,2016,11,Herbst,False,4,38.13,20.08,83.43,52.66194597429844
25,201704,2017,4,Frühling,201611,2016,11,Herbst,False,5,38.13,18.26,60.48,47.88880146865985
25,201705,2017,5,Frühling,201611,2016,11,Herbst,False,6,38.13,16.53,39.1,43.35169158143194
25,201706,2017,6,Sommer,201611,2016,11,Herbst,False,7,38.13,16.27,41.31,42.66981379491214
25,201707,2017,7,Sommer,201611,2016,11,Herbst,False,8,38.13,15.28,41.43,40.07343299239444
25,201708,2017,8,Sommer,201611,2016,11,Herbst,False,9,38.13,15.08,30.24,39.54891161814844
26,201612,2016,12,Winter,201612,2016,12,Winter,True,0,40.21,40.21,124.22,100.0
26,201701,2017,1,Winter,201612,2016,12,Winter,False,1,40.21,20.73,45.64,51.55433971648844
26,201702,2017,2,Winter,201612,2016,12,Winter,False,2,40.21,20.25,74.35,50.36060681422532
26,201703,2017,3,Frühling,201612,2016,12,Winter,False,3,40.21,20.49,74.42,50.95747326535687
26,201704,2017,4,Frühling,201612,2016,12,Winter,False,4,40.21,18.29,51.6,45.48619746331758
26,201705,2017,5,Frühling,201612,2016,12,Winter,False,5,40.21,16.62,33.25,41.33300174086049
26,201706,2017,6,Sommer,201612,2016,12,Winter,False,6,40.21,16.35,33.99,40.66152698333748
26,201707,2017,7,Sommer,201612,2016,12,Winter,False,7,40.21,15.58,35.79,38.746580452623725
26,201708,2017,8,Sommer,201612,2016,12,Winter,False,8,40.21,15.05,26.36,37.42850037304154
27,201701,2017,1,Winter,201701,2017,1,Winter,True,0,24.23,24.23,49.07,100.0
27,201702,2017,2,Winter,201701,2017,1,Winter,False,1,24.23,13.4,47.19,55.30334296326868
27,201703,2017,3,Frühling,201701,2017,1,Winter,False,2,24.23,12.86,43.99,53.07470078415187
27,201704,2017,4,Frühling,201701,2017,1,Winter,False,3,24.23,11.65,29.63,48.08089145687165
27,201705,2017,5,Frühling,201701,2017,1,Winter,False,4,24.23,10.36,19.74,42.7569129178704
27,201706,2017,6,Sommer,201701,2017,1,Winter,False,5,24.23,10.13,19.46,41.807676434172514
27,201707,2017,7,Sommer,201701,2017,1,Winter,False,6,24.23,9.49,20.54,39.16632274040446
27,201708,2017,8,Sommer,201701,2017,1,Winter,False,7,24.23,9.17,15.07,37.84564589352043
28,201702,2017,2,Winter,201702,2017,2,Winter,True,0,26.84,26.84,74.11,100.0
28,201703,2017,3,Frühling,201702,2017,2,Winter,False,1,26.84,15.14,49.2,56.40834575260805
28,201704,2017,4,Frühling,201702,2017,2,Winter,False,2,26.84,13.06,32.99,48.65871833084948
28,201705,2017,5,Frühling,201702,2017,2,Winter,False,3,26.84,11.6,20.15,43.21907600596125
28,201706,2017,6,Sommer,201702,2017,2,Winter,False,4,26.84,10.93,20.02,40.72280178837556
28,201707,2017,7,Sommer,201702,2017,2,Winter,False,5,26.84,10.18,21.33,37.928464977645305
28,201708,2017,8,Sommer,201702,2017,2,Winter,False,6,26.84,9.75,13.84,36.32637853949329
29,201703,2017,3,Frühling,201703,2017,3,Frühling,True,0,27.83,27.83,68.64,100.0
29,201704,2017,4,Frühling,201703,2017,3,Frühling,False,1,27.83,13.89,31.4,49.910168882500905
29,201705,2017,5,Frühling,201703,2017,3,Frühling,False,2,27.83,12.11,20.95,43.51419331656486
29,201706,2017,6,Sommer,201703,2017,3,Frühling,False,3,27.83,11.63,19.01,41.78943586058212
29,201707,2017,7,Sommer,201703,2017,3,Frühling,False,4,27.83,10.46,20.8,37.58533956162415
29,201708,2017,8,Sommer,201703,2017,3,Frühling,False,5,27.83,9.95,13.56,35.75278476464247
30,201704,2017,4,Frühling,201704,2017,4,Frühling,True,0,20.29,20.29,34.72,100.0
30,201705,2017,5,Frühling,201704,2017,4,Frühling,False,1,20.29,10.04,16.37,49.48250369640217
30,201706,2017,6,Sommer,201704,2017,4,Frühling,False,2,20.29,9.09,14.62,44.80039428289798
30,201707,2017,7,Sommer,201704,2017,4,Frühling,False,3,20.29,8.29,15.15,40.85756530310498
30,201708,2017,8,Sommer,201704,2017,4,Frühling,False,4,20.29,7.77,11.19,38.29472646623952
31,201705,2017,5,Frühling,201705,2017,5,Frühling,True,0,18.06,18.06,20.85,100.0
31,201706,2017,6,Sommer,201705,2017,5,Frühling,False,1,18.06,9.38,13.43,51.93798449612403
31,201707,2017,7,Sommer,201705,2017,5,Frühling,False,2,18.06,7.88,13.33,43.63233665559248
31,201708,2017,8,Sommer,201705,2017,5,Frühling,False,3,18.06,7.42,8.88,41.08527131782946
32,201706,2017,6,Sommer,201706,2017,6,Sommer,True,0,18.36,18.36,21.91,100.0
32,201707,2017,7,Sommer,201706,2017,6,Sommer,False,1,18.36,9.45,17.88,51.47058823529412
32,201708,2017,8,Sommer,201706,2017,6,Sommer,False,2,18.36,8.4,10.59,45.751633986928105
33,201707,2017,7,Sommer,201707,2017,7,Sommer,True,0,17.49,17.49,23.76,100.0
33,201708,2017,8,Sommer,201707,2017,7,Sommer,False,1,17.49,8.54,11.85,48.82790165809034
34,201708,2017,8,Sommer,201708,2017,8,Sommer,True,0,15.13,15.13,14.28,100.0
