MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,monat_jahr,monat_monat,monat_jahreszeit,KOHORTE,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-2,201611,2016,11,Herbst,201408,2014,8,Sommer,0,27,0.41,0.08,0.34,81.7891,1.28,193.64,0.0001121398,1.88,1.09,8.0,557.05,68.13,57.74,379.49,321.64,2370.15
-2,201612,2016,12,Winter,201408,2014,8,Sommer,0,28,0.41,0.08,0.35,83.7061,1.75,237.22,0.0001252958,1.99,1.33,9.73,575.83,88.14,66.78,507.54,384.57,2816.43
-2,201701,2017,1,Winter,201408,2014,8,Sommer,0,29,0.41,0.08,0.33,79.2332,1.2,202.51,0.0001004529,1.64,1.03,4.23,501.03,73.24,62.68,366.98,314.05,1292.04
-2,201702,2017,2,Winter,201408,2014,8,Sommer,0,30,0.41,0.08,0.33,79.8722,1.19,194.83,0.000103379,1.56,1.04,5.39,472.15,76.34,66.5,360.45,314.0,1635.12
-2,201703,2017,3,Frühling,201408,2014,8,Sommer,0,31,0.41,0.08,0.34,82.1086,1.49,245.71,0.0001028653,1.97,1.29,7.71,580.29,75.82,65.78,440.0,381.73,2273.17
-2,201704,2017,4,Frühling,201408,2014,8,Sommer,0,32,0.41,0.08,0.34,81.7891,1.24,210.78,9.95284e-05,1.82,1.08,4.83,538.83,68.04,59.57,366.63,320.99,1428.98
-2,201705,2017,5,Frühling,201408,2014,8,Sommer,0,33,0.41,0.08,0.33,80.8307,1.32,235.78,9.52101e-05,1.73,1.18,3.44,516.95,76.79,68.44,396.97,353.79,1030.87
-2,201706,2017,6,Sommer,201408,2014,8,Sommer,0,34,0.41,0.08,0.32,78.5942,1.23,222.73,9.35596e-05,1.63,1.14,4.16,501.32,75.6,70.21,378.98,351.98,1282.88
-2,201707,2017,7,Sommer,201408,2014,8,Sommer,0,35,0.41,0.08,0.33,79.2332,1.2,220.9,9.17095e-05,1.57,1.12,3.79,480.61,76.04,71.39,365.47,343.11,1159.23
-2,201708,2017,8,Sommer,201408,2014,8,Sommer,0,36,0.41,0.08,0.31,74.4409,1.11,211.6,8.92106e-05,1.54,1.02,2.9,502.02,72.2,65.84,362.46,330.52,942.8
-1,201409,2014,9,Herbst,201409,2014,9,Herbst,1,0,27.34,5.52,27.34,100.0,15.31,2.51,0.1031877673,22.15,17.16,47.67,81.02,69.09,77.44,55.98,62.75,174.34
-1,201410,2014,10,Herbst,201409,2014,9,Herbst,0,1,27.34,5.52,26.22,95.8944,69.07,98.86,0.0118401109,96.28,77.91,252.32,367.23,71.74,80.92,263.45,297.16,962.39
-1,201411,2014,11,Herbst,201409,2014,9,Herbst,0,2,27.34,5.52,23.16,84.7212,55.48,100.0,0.0094021453,74.54,60.39,96.07,321.79,74.44,81.01,239.53,260.69,414.72
-1,201412,2014,12,Winter,201409,2014,9,Herbst,0,3,27.34,5.52,23.62,86.3759,64.09,124.57,0.0087178505,73.51,64.67,149.79,311.29,87.18,87.97,271.37,273.86,634.26
-1,201501,2015,1,Winter,201409,2014,9,Herbst,0,4,27.34,5.52,22.8,83.3751,54.39,112.12,0.0082200954,66.37,57.07,95.79,291.14,81.95,85.99,238.58,250.35,420.19
-1,201502,2015,2,Winter,201409,2014,9,Herbst,0,5,27.34,5.52,22.55,82.4778,49.79,98.69,0.008549261,60.0,51.39,73.62,266.09,82.98,85.64,220.8,227.88,326.46
-1,201503,2015,3,Frühling,201409,2014,9,Herbst,0,6,27.34,5.52,22.32,81.6287,53.8,114.62,0.0079538044,67.14,55.46,86.98,300.81,80.14,82.61,241.06,248.51,389.75
-1,201504,2015,4,Frühling,201409,2014,9,Herbst,0,7,27.34,5.52,21.59,78.9608,56.13,116.9,0.0081372877,66.32,54.06,78.78,307.21,84.64,81.52,260.02,250.43,364.94
-1,201505,2015,5,Frühling,201409,2014,9,Herbst,0,8,27.34,5.52,21.72,79.4336,60.08,129.83,0.0078409142,73.03,57.62,96.85,336.26,82.26,78.91,276.62,265.33,445.93
-1,201506,2015,6,Sommer,201409,2014,9,Herbst,0,9,27.34,5.52,21.67,79.2406,60.97,131.75,0.0078421606,75.38,60.48,136.43,347.94,80.89,80.23,281.44,279.16,629.7
-1,201507,2015,7,Sommer,201409,2014,9,Herbst,0,10,27.34,5.52,21.47,78.5218,59.72,141.43,0.0071561503,71.57,59.86,117.33,333.36,83.45,83.64,278.2,278.81,546.51
